frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
400,  0,  21.902,  0.98,  1, 0.00, 0.04, 1.65, 0.00, 1.23, 0.12, 0.39, 2.27, 1.52, 1.04, 0.29, 0.12, 0.00, 0.00, 2.36, 0.31, 0.10, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
401,  0,  21.928,  0.98,  1, 0.00, 0.00, 1.29, 0.00, 1.82, 0.17, 0.66, 2.92, 2.26, 1.42, 0.45, 0.00, 0.00, 0.00, 3.00, 0.36, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
402,  0,  21.998,  0.98,  1, 0.00, 0.00, 1.15, 0.00, 1.89, 0.12, 0.74, 3.10, 2.40, 1.37, 0.49, 0.00, 0.00, 0.00, 3.12, 0.26, 0.03, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
403,  0,  22.021,  0.98,  1, 0.00, 0.00, 1.01, 0.00, 2.04, 0.07, 0.82, 3.23, 2.59, 1.47, 0.45, 0.00, 0.00, 0.00, 3.37, 0.16, 0.03, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
404,  0,  22.093,  0.98,  1, 0.00, 0.00, 1.02, 0.00, 2.11, 0.00, 0.82, 3.20, 2.66, 1.58, 0.36, 0.00, 0.00, 0.00, 3.54, 0.17, 0.03, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
405,  0,  22.119,  0.98,  1, 0.00, 0.00, 1.05, 0.00, 2.21, 0.00, 0.89, 3.14, 2.67, 1.63, 0.32, 0.00, 0.00, 0.00, 3.48, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
406,  0,  22.215,  0.98,  1, 0.00, 0.00, 1.10, 0.00, 2.26, 0.00, 0.93, 3.14, 2.64, 1.56, 0.34, 0.00, 0.00, 0.00, 3.27, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
407,  0,  22.252,  0.98,  1, 0.00, 0.00, 1.13, 0.00, 2.31, 0.00, 1.02, 3.16, 2.68, 1.54, 0.39, 0.00, 0.00, 0.00, 3.04, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
408,  0,  22.302,  0.98,  1, 0.00, 0.00, 1.13, 0.00, 2.35, 0.00, 1.02, 3.19, 2.77, 1.58, 0.38, 0.00, 0.00, 0.00, 3.06, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
409,  0,  22.330,  0.98,  1, 0.00, 0.00, 1.14, 0.00, 2.34, 0.00, 0.98, 3.27, 2.81, 1.54, 0.41, 0.00, 0.00, 0.00, 3.01, 0.00, 0.12, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
410,  0,  22.409,  0.98,  1, 0.00, 0.00, 1.14, 0.00, 2.34, 0.01, 0.93, 3.31, 2.79, 1.47, 0.39, 0.00, 0.00, 0.00, 2.98, 0.00, 0.23, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
411,  0,  22.461,  0.98,  1, 0.00, 0.00, 1.14, 0.00, 2.32, 0.08, 0.82, 3.17, 2.75, 1.47, 0.38, 0.00, 0.00, 0.00, 2.98, 0.05, 0.23, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
412,  0,  22.497,  0.98,  1, 0.00, 0.00, 1.15, 0.00, 2.32, 0.21, 0.77, 2.98, 2.75, 1.56, 0.33, 0.00, 0.00, 0.00, 3.05, 0.10, 0.11, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
413,  0,  22.522,  0.98,  1, 0.00, 0.00, 1.17, 0.00, 2.34, 0.27, 0.76, 2.88, 2.70, 1.66, 0.36, 0.00, 0.00, 0.00, 3.20, 0.10, 0.06, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
414,  0,  22.615,  0.98,  1, 0.00, 0.00, 1.22, 0.00, 2.34, 0.29, 0.82, 2.96, 2.66, 1.72, 0.42, 0.00, 0.00, 0.00, 3.28, 0.05, 0.16, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
415,  0,  22.661,  0.98,  1, 0.00, 0.00, 1.27, 0.00, 2.31, 0.21, 0.87, 3.07, 2.66, 1.79, 0.44, 0.00, 0.00, 0.00, 3.38, 0.07, 0.16, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
416,  0,  22.703,  0.98,  1, 0.00, 0.00, 1.30, 0.00, 2.27, 0.16, 0.87, 3.09, 2.69, 1.82, 0.40, 0.00, 0.00, 0.00, 3.40, 0.14, 0.10, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
417,  0,  22.733,  0.98,  1, 0.00, 0.00, 1.28, 0.00, 2.26, 0.15, 0.86, 3.15, 2.72, 1.75, 0.34, 0.00, 0.00, 0.00, 3.43, 0.18, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
418,  0,  22.800,  0.98,  1, 0.00, 0.00, 1.24, 0.00, 2.29, 0.18, 0.87, 3.21, 2.73, 1.67, 0.35, 0.00, 0.00, 0.00, 3.38, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
419,  0,  22.826,  0.98,  1, 0.00, 0.00, 1.12, 0.00, 2.28, 0.18, 0.87, 3.11, 2.72, 1.63, 0.34, 0.00, 0.00, 0.00, 3.38, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
420,  0,  22.900,  0.98,  1, 0.00, 0.00, 1.06, 0.00, 2.25, 0.17, 0.88, 3.02, 2.70, 1.67, 0.29, 0.00, 0.00, 0.00, 3.37, 0.02, 0.03, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
421,  0,  22.940,  0.98,  1, 0.00, 0.00, 1.10, 0.00, 2.24, 0.22, 0.86, 2.96, 2.69, 1.80, 0.33, 0.00, 0.00, 0.00, 3.38, 0.00, 0.11, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
422,  0,  23.011,  0.98,  1, 0.00, 0.00, 1.21, 0.00, 2.26, 0.41, 0.84, 3.02, 2.69, 1.87, 0.34, 0.00, 0.00, 0.00, 3.36, 0.01, 0.25, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
423,  0,  23.042,  0.98,  1, 0.00, 0.00, 1.17, 0.00, 2.25, 0.47, 0.82, 3.00, 2.65, 1.88, 0.40, 0.00, 0.00, 0.00, 3.32, 0.01, 0.28, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
424,  0,  23.110,  0.98,  1, 0.00, 0.00, 1.02, 0.00, 2.22, 0.48, 0.83, 2.91, 2.59, 1.79, 0.34, 0.00, 0.00, 0.00, 3.34, 0.01, 0.24, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
425,  0,  23.136,  0.98,  1, 0.00, 0.00, 0.86, 0.00, 2.14, 0.28, 0.81, 2.91, 2.57, 1.72, 0.31, 0.00, 0.00, 0.00, 3.19, 0.00, 0.15, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
426,  0,  23.198,  0.98,  1, 0.00, 0.00, 0.84, 0.00, 2.09, 0.14, 0.79, 2.97, 2.60, 1.70, 0.25, 0.00, 0.00, 0.00, 3.05, 0.00, 0.14, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
427,  0,  23.224,  0.98,  1, 0.00, 0.00, 0.94, 0.00, 2.09, 0.11, 0.81, 3.02, 2.62, 1.77, 0.25, 0.00, 0.00, 0.00, 3.00, 0.08, 0.24, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
428,  0,  23.294,  0.98,  1, 0.00, 0.00, 1.05, 0.00, 2.14, 0.17, 0.86, 3.00, 2.60, 1.81, 0.29, 0.00, 0.00, 0.00, 3.15, 0.17, 0.32, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
429,  0,  23.318,  0.98,  1, 0.00, 0.00, 1.16, 0.00, 2.18, 0.17, 0.88, 2.91, 2.62, 1.84, 0.38, 0.00, 0.00, 0.00, 3.31, 0.17, 0.28, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
430,  0,  23.425,  0.98,  1, 0.00, 0.00, 1.16, 0.00, 2.18, 0.06, 0.85, 2.85, 2.64, 1.81, 0.46, 0.00, 0.00, 0.00, 3.35, 0.09, 0.13, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
431,  0,  23.457,  0.98,  1, 0.00, 0.00, 1.19, 0.00, 2.22, 0.14, 0.83, 2.88, 2.69, 1.75, 0.49, 0.00, 0.00, 0.00, 3.18, 0.01, 0.02, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
432,  0,  23.504,  0.98,  1, 0.00, 0.00, 1.25, 0.00, 2.26, 0.26, 0.84, 2.96, 2.70, 1.69, 0.50, 0.00, 0.00, 0.00, 3.01, 0.00, 0.07, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
433,  0,  23.527,  0.98,  1, 0.00, 0.00, 1.22, 0.00, 2.22, 0.33, 0.84, 3.03, 2.72, 1.62, 0.47, 0.00, 0.00, 0.00, 2.91, 0.05, 0.17, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
434,  0,  23.599,  0.98,  1, 0.00, 0.00, 1.12, 0.00, 2.16, 0.31, 0.80, 3.01, 2.70, 1.63, 0.45, 0.00, 0.00, 0.00, 2.96, 0.11, 0.26, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
435,  0,  23.623,  0.98,  1, 0.00, 0.00, 1.07, 0.00, 2.08, 0.26, 0.73, 2.99, 2.65, 1.70, 0.47, 0.00, 0.00, 0.00, 3.01, 0.11, 0.35, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
436,  0,  23.693,  0.98,  1, 0.00, 0.00, 1.11, 0.00, 2.09, 0.27, 0.65, 2.97, 2.60, 1.77, 0.52, 0.00, 0.00, 0.00, 3.05, 0.07, 0.34, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
437,  0,  23.743,  0.98,  1, 0.00, 0.00, 1.40, 0.00, 1.60, 0.29, 0.40, 2.57, 1.85, 1.38, 0.46, 0.08, 0.00, 0.00, 2.71, 0.01, 0.45, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
438,  0,  23.806,  0.98,  1, 0.00, 0.00, 1.63, 0.00, 1.12, 0.33, 0.20, 2.18, 1.14, 0.94, 0.35, 0.15, 0.00, 0.00, 2.34, 0.01, 0.53, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
439,  0,  23.832,  0.93,  1, 0.00, 0.00, 1.86, 0.00, 0.46, 0.25, 0.00, 1.58, 0.29, 0.45, 0.29, 0.36, 0.15, 0.00, 1.40, 0.01, 0.65, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
440,  0,  23.902,  0.98,  1, 0.00, 0.00, 1.83, 0.00, 0.26, 0.11, 0.00, 1.34, 0.14, 0.37, 0.39, 0.49, 0.30, 0.00, 0.90, 0.04, 0.66, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
441,  0,  23.953,  0.98,  1, 0.02, 0.00, 1.86, 0.00, 0.06, 0.00, 0.00, 1.08, 0.00, 0.26, 0.45, 0.67, 0.43, 0.00, 0.43, 0.33, 0.47, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
442,  0,  23.999,  0.98,  1, 0.05, 0.00, 1.87, 0.00, 0.02, 0.00, 0.00, 1.04, 0.00, 0.26, 0.46, 0.65, 0.40, 0.00, 0.46, 0.60, 0.34, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
443,  0,  24.024,  0.98,  1, 0.12, 0.01, 1.89, 0.00, 0.00, 0.00, 0.00, 0.93, 0.00, 0.19, 0.41, 0.53, 0.26, 0.00, 0.33, 0.74, 0.19, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
444,  0,  24.099,  0.98,  1, 0.20, 0.01, 1.92, 0.00, 0.00, 0.00, 0.00, 0.85, 0.00, 0.12, 0.35, 0.37, 0.13, 0.00, 0.18, 0.59, 0.23, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
445,  0,  24.135,  0.98,  1, 0.25, 0.01, 1.92, 0.00, 0.00, 0.00, 0.00, 0.77, 0.00, 0.01, 0.20, 0.33, 0.00, 0.00, 0.04, 0.43, 0.16, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
446,  0,  24.214,  0.98,  1, 0.27, 0.00, 1.94, 0.00, 0.00, 0.00, 0.00, 0.80, 0.00, 0.01, 0.09, 0.43, 0.00, 0.00, 0.01, 0.36, 0.13, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
447,  0,  24.276,  0.98,  1, 0.27, 0.00, 1.89, 0.00, 0.00, 0.00, 0.00, 0.82, 0.00, 0.01, 0.00, 0.37, 0.00, 0.00, 0.07, 0.41, 0.16, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
448,  0,  24.307,  0.98,  1, 0.22, 0.00, 1.93, 0.00, 0.00, 0.00, 0.00, 0.80, 0.00, 0.01, 0.00, 0.31, 0.00, 0.00, 0.12, 0.29, 0.34, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
449,  0,  24.404,  0.98,  1, 0.14, 0.00, 1.96, 0.00, 0.00, 0.00, 0.00, 0.77, 0.00, 0.00, 0.00, 0.20, 0.00, 0.00, 0.17, 0.18, 0.48, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
450,  0,  24.430,  0.98,  1, 0.10, 0.09, 1.96, 0.00, 0.01, 0.00, 0.00, 0.82, 0.00, 0.00, 0.00, 0.18, 0.00, 0.00, 0.22, 0.10, 0.53, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
451,  0,  24.493,  0.98,  1, 0.15, 0.16, 1.90, 0.00, 0.02, 0.00, 0.00, 0.88, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.27, 0.22, 0.52, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
452,  0,  24.520,  0.98,  1, 0.18, 0.18, 1.77, 0.00, 0.36, 0.00, 0.06, 1.35, 0.36, 0.42, 0.18, 0.14, 0.20, 0.00, 0.86, 0.23, 0.41, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
453,  0,  24.622,  0.98,  1, 0.14, 0.08, 1.67, 0.00, 0.72, 0.00, 0.11, 1.84, 0.74, 0.86, 0.43, 0.27, 0.40, 0.00, 1.37, 0.15, 0.25, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
454,  0,  24.668,  0.98,  1, 0.07, 0.01, 1.56, 0.00, 1.40, 0.00, 0.31, 2.58, 1.59, 1.64, 0.60, 0.24, 0.47, 0.00, 2.07, 0.20, 0.13, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
455,  0,  24.702,  0.98,  1, 0.02, 0.00, 1.53, 0.00, 1.74, 0.00, 0.45, 2.88, 2.09, 1.96, 0.56, 0.15, 0.35, 0.00, 2.30, 0.35, 0.21, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
456,  0,  24.731,  0.98,  1, 0.00, 0.00, 1.45, 0.00, 2.10, 0.00, 0.62, 3.19, 2.65, 2.18, 0.51, 0.00, 0.19, 0.00, 2.58, 0.52, 0.29, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
457,  0,  24.804,  0.98,  1, 0.00, 0.00, 1.37, 0.00, 2.13, 0.00, 0.66, 3.25, 2.73, 2.08, 0.56, 0.00, 0.18, 0.00, 2.66, 0.55, 0.32, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
458,  0,  24.858,  0.98,  1, 0.00, 0.00, 1.34, 0.00, 2.22, 0.10, 0.74, 3.30, 2.80, 2.12, 0.62, 0.00, 0.10, 0.00, 2.75, 0.52, 0.19, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
459,  0,  24.894,  0.98,  1, 0.00, 0.00, 1.35, 0.00, 2.23, 0.25, 0.80, 3.27, 2.79, 2.24, 0.63, 0.00, 0.06, 0.00, 2.80, 0.49, 0.13, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
460,  0,  24.924,  0.98,  1, 0.00, 0.00, 1.29, 0.00, 2.29, 0.46, 0.80, 3.26, 2.78, 2.24, 0.65, 0.00, 0.00, 0.00, 2.89, 0.49, 0.09, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
461,  0,  25.007,  0.98,  1, 0.00, 0.00, 1.21, 0.00, 2.30, 0.59, 0.76, 3.27, 2.77, 2.14, 0.66, 0.00, 0.00, 0.00, 2.91, 0.57, 0.12, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
462,  0,  25.033,  0.98,  1, 0.00, 0.00, 1.21, 0.00, 2.32, 0.65, 0.70, 3.24, 2.76, 2.06, 0.69, 0.00, 0.00, 0.00, 2.81, 0.66, 0.14, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
463,  0,  25.103,  0.98,  1, 0.00, 0.00, 1.29, 0.00, 2.29, 0.65, 0.69, 3.16, 2.76, 2.07, 0.69, 0.00, 0.00, 0.00, 2.71, 0.77, 0.17, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
464,  0,  25.130,  0.98,  1, 0.00, 0.00, 1.38, 0.00, 2.25, 0.48, 0.66, 3.10, 2.75, 1.99, 0.60, 0.00, 0.04, 0.00, 2.56, 0.75, 0.19, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
465,  0,  25.198,  0.98,  1, 0.00, 0.00, 1.39, 0.00, 2.22, 0.28, 0.65, 3.11, 2.74, 1.90, 0.46, 0.00, 0.11, 0.00, 2.53, 0.68, 0.23, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
466,  0,  25.227,  0.98,  1, 0.00, 0.00, 1.28, 0.00, 2.22, 0.12, 0.63, 3.14, 2.75, 1.89, 0.38, 0.00, 0.12, 0.00, 2.57, 0.69, 0.31, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
467,  0,  25.294,  0.98,  1, 0.00, 0.00, 1.14, 0.00, 2.25, 0.12, 0.63, 3.18, 2.77, 1.94, 0.42, 0.00, 0.07, 0.00, 2.64, 0.79, 0.42, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
468,  0,  25.320,  0.98,  1, 0.00, 0.00, 1.05, 0.00, 2.30, 0.34, 0.68, 3.25, 2.75, 2.04, 0.47, 0.00, 0.05, 0.00, 2.66, 0.88, 0.42, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
469,  0,  25.406,  0.98,  1, 0.00, 0.00, 1.05, 0.00, 2.33, 0.49, 0.72, 3.29, 2.71, 2.09, 0.50, 0.00, 0.07, 0.00, 2.63, 0.84, 0.36, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
470,  0,  25.452,  0.98,  1, 0.00, 0.00, 1.21, 0.00, 2.40, 0.42, 0.76, 3.31, 2.75, 2.24, 0.56, 0.00, 0.09, 0.00, 2.70, 0.67, 0.61, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
